subid,gender,task,order,agency
1,1,1,2,6
1,1,2,2,5
2,1,1,1,4
2,1,2,1,1
3,0,1,2,5
3,0,2,2,4
4,0,1,1,8.5
4,0,2,1,7.5
5,0,1,2,8
5,0,2,2,4
6,0,1,1,8
6,0,2,1,2
7,1,1,2,1
7,1,2,2,8
8,1,1,1,8
8,1,2,1,1
9,1,1,2,3
9,1,2,2,4.5
10,0,1,1,4.5
10,0,2,1,4.5
11,1,1,2,8.5
11,1,2,2,3.5
12,1,1,1,1
12,1,2,1,1
13,1,1,2,5
13,1,2,2,6.5
14,0,1,1,9
14,0,2,1,9
15,1,1,2,7.5
15,1,2,2,2.5
16,0,1,1,7.5
16,0,2,1,8
17,0,1,2,9
17,0,2,2,9
18,0,1,1,9
18,0,2,1,9
19,0,1,2,8.5
19,0,2,2,2.5
20,0,1,1,9
20,0,2,1,9
21,0,1,2,9
21,0,2,2,3
22,0,1,1,2.5
22,0,2,1,2.5
23,1,1,2,7.5
23,1,2,2,6.5
24,1,1,1,5.5
24,1,2,1,6
25,0,1,2,3
25,0,2,2,6.5
26,0,1,1,9
26,0,2,1,3
27,0,1,2,1
27,0,2,2,9
28,1,1,1,7.5
28,1,2,1,6
29,1,1,2,6.5
29,1,2,2,4
30,1,1,1,9
30,1,2,1,1
31,0,1,2,7.5
31,0,2,2,7
32,0,1,1,8.5
32,0,2,1,8.5
33,1,1,2,3.5
33,1,2,2,6.5
34,0,1,1,8
34,0,2,1,5.5
35,1,1,2,9
35,1,2,2,8.5
36,0,1,1,5
36,0,2,1,5
37,0,1,2,6.5
37,0,2,2,6.5
38,0,1,1,8.5
38,0,2,1,7.5
39,1,1,2,5.5
39,1,2,2,8
40,0,1,1,8.5
40,0,2,1,8.5
41,1,1,2,9
41,1,2,2,9
42,0,1,1,8.5
42,0,2,1,9
43,0,1,2,8.5
43,0,2,2,2
44,0,1,1,9
44,0,2,1,9
45,0,1,2,7.5
45,0,2,2,4.5
46,0,1,1,9
46,0,2,1,9
47,1,1,2,7
47,1,2,2,8
48,0,1,1,9
48,0,2,1,9
49,1,1,2,9
49,1,2,2,9
50,0,1,1,8
50,0,2,1,8.5
51,0,1,2,8
51,0,2,2,8
52,0,1,1,8.5
52,0,2,1,8.5
53,1,1,2,8
53,1,2,2,8
54,0,1,1,6.5
54,0,2,1,4.5
55,1,1,2,3
55,1,2,2,3
56,0,1,1,8
56,0,2,1,7
57,0,1,2,7
57,0,2,2,9
58,0,1,1,7.5
58,0,2,1,8
59,0,1,2,5.5
59,0,2,2,3.5
60,1,1,1,1
60,1,2,1,3
61,0,1,2,9
61,0,2,2,5
62,0,1,1,4
62,0,2,1,5
63,0,1,2,7.5
63,0,2,2,4
64,0,1,1,5.5
64,0,2,1,4.5
65,0,1,2,8
65,0,2,2,5.5
66,0,1,1,7.5
66,0,2,1,1
67,0,1,2,8
67,0,2,2,2.5
68,0,1,1,6.5
68,0,2,1,9
69,0,1,2,7.5
69,0,2,2,5.5
70,1,1,1,9
70,1,2,1,2.5
71,1,1,2,9
71,1,2,2,8.5
72,0,1,1,7.5
72,0,2,1,1.5
73,1,1,2,8.5
73,1,2,2,7
74,0,1,1,9
74,0,2,1,9
75,1,1,2,7
75,1,2,2,7
76,1,1,1,7.5
76,1,2,1,4.5
77,0,1,2,8.5
77,0,2,2,9
78,1,1,1,7.5
78,1,2,1,9
