subid,gender,condition,order,pse
1,1,1,2,1.0876
1,1,2,2,1.1912
2,1,1,1,1.1608
2,1,2,1,1.0424
3,0,1,2,1.158
3,0,2,2,1.1979
4,0,1,1,1.0403
4,0,2,1,0.97995
5,0,1,2,1.0431
5,0,2,2,1.1304
6,0,1,1,0.84182
6,0,2,1,0.82623
7,1,1,2,0.87674
7,1,2,2,0.67565
8,1,1,1,0.86626
8,1,2,1,0.96131
9,1,1,2,0.90401
9,1,2,2,1.639
10,0,1,1,0.76183
10,0,2,1,0.82637
11,1,1,2,0.86746
11,1,2,2,0.92463
12,1,1,1,1.3194
12,1,2,1,0.91884
13,1,1,2,0.93886
13,1,2,2,0.96731
14,0,1,1,1.1334
14,0,2,1,1.0119
15,1,1,2,0.83929
15,1,2,2,1.0302
16,0,1,1,1.1378
16,0,2,1,1.0166
17,0,1,2,0.56669
17,0,2,2,0.6149
18,0,1,1,1.0488
18,0,2,1,1.2188
19,0,1,2,0.82931
19,0,2,2,0.97896
20,0,1,1,0.62569
20,0,2,1,0.80732
21,0,1,2,0.70018
21,0,2,2,0.73373
22,0,1,1,1.2654
22,0,2,1,0.97751
23,1,1,2,0.93909
23,1,2,2,1.1811
24,1,1,1,0.99094
24,1,2,1,1.0451
25,0,1,2,0.75162
25,0,2,2,1.0046
26,0,1,1,1.1468
26,0,2,1,1.1659
27,0,1,2,1.5701
27,0,2,2,1.2984
28,1,1,1,1.4081
28,1,2,1,0.93483
29,1,1,2,0.90009
29,1,2,2,0.98914
30,1,1,1,0.89219
30,1,2,1,1.0535
31,0,1,2,1.1055
31,0,2,2,1.1211
32,0,1,1,1.1233
32,0,2,1,1.063
33,1,1,2,1.0678
33,1,2,2,1.1454
34,0,1,1,1.0326
34,0,2,1,1.0508
35,1,1,2,0.82215
35,1,2,2,0.89525
36,0,1,1,1.1755
36,0,2,1,0.63846
37,0,1,2,1.1585
37,0,2,2,1.2588
38,0,1,1,0.95198
38,0,2,1,0.59479
39,1,1,2,0.959
39,1,2,2,0.95213
40,0,1,1,1.0033
40,0,2,1,1.0778
41,1,1,2,0.96051
41,1,2,2,1.0572
42,0,1,1,1.1575
42,0,2,1,1.2241
43,0,1,2,1.048
43,0,2,2,1.0856
44,0,1,1,1.2294
44,0,2,1,1.1558
45,0,1,2,0.74321
45,0,2,2,0.88456
46,0,1,1,1.1292
46,0,2,1,0.92107
47,1,1,2,0.63893
47,1,2,2,0.82836
48,0,1,1,0.74435
48,0,2,1,0.92313
49,1,1,2,0.83996
49,1,2,2,1.4419
50,0,1,1,1.0705
50,0,2,1,1.0348
51,0,1,2,1.0801
51,0,2,2,1.1027
52,0,1,1,0.7251
52,0,2,1,1.0573
53,1,1,2,0.90851
53,1,2,2,0.92121
54,0,1,1,0.81993
54,0,2,1,0.62954
55,1,1,2,0.93152
55,1,2,2,0.88068
56,0,1,1,0.85108
56,0,2,1,1.1633
57,0,1,2,0.79764
57,0,2,2,1.0935
58,0,1,1,1.4521
58,0,2,1,1.7634
59,0,1,2,0.97958
59,0,2,2,0.967
60,1,1,1,0.87956
60,1,2,1,0.88071
61,0,1,2,0.78739
61,0,2,2,0.89922
62,0,1,1,1.053
62,0,2,1,1.0979
63,0,1,2,0.90734
63,0,2,2,1.1008
64,0,1,1,1.0679
64,0,2,1,1.0167
65,0,1,2,0.95338
65,0,2,2,0.88964
66,0,1,1,1.1317
66,0,2,1,1.1619
67,0,1,2,0.87564
67,0,2,2,1.1245
68,0,1,1,0.90359
68,0,2,1,0.85061
69,0,1,2,0.96468
69,0,2,2,1.1228
70,1,1,1,1.3123
70,1,2,1,1.4161
71,1,1,2,1.236
71,1,2,2,1.1077
72,0,1,1,1.3446
72,0,2,1,1.2879
73,1,1,2,0.97385
73,1,2,2,1.0876
74,0,1,1,0.69024
74,0,2,1,0.71187
75,1,1,2,0.82035
75,1,2,2,0.93838
76,1,1,1,0.84723
76,1,2,1,1.0199
77,0,1,2,0.99675
77,0,2,2,0.97119
78,1,1,1,1.2105
78,1,2,1,1.0477
