subid,gender,delay,condition,order,estimated_interval
1,1,1,1,2,0.19416
1,1,1,2,2,0.2916
1,1,2,1,2,0.31209
1,1,2,2,2,0.52184
1,1,3,1,2,0.61245
1,1,3,2,2,0.74965
2,1,1,1,1,0.28243
2,1,1,2,1,0.3208
2,1,2,1,1,0.40986
2,1,2,2,1,0.47065
2,1,3,1,1,0.94408
2,1,3,2,1,1.1186
3,0,1,1,2,0.12436
3,0,1,2,2,0.21864
3,0,2,1,2,0.13032
3,0,2,2,2,0.38024
3,0,3,1,2,0.81784
3,0,3,2,2,0.80804
4,0,1,1,1,0.21884
4,0,1,2,1,0.60939
4,0,2,1,1,0.30127
4,0,2,2,1,0.73274
4,0,3,1,1,0.8057
4,0,3,2,1,1.1414
5,0,1,1,2,0.15548
5,0,1,2,2,0.16908
5,0,2,1,2,0.16952
5,0,2,2,2,0.37829
5,0,3,1,2,0.75252
5,0,3,2,2,0.84524
6,0,1,1,1,0.13623
6,0,1,2,1,0.26894
6,0,2,1,1,0.15852
6,0,2,2,1,0.40793
6,0,3,1,1,0.46022
6,0,3,2,1,0.93592
7,1,1,1,2,0.21403
7,1,1,2,2,0.3763
7,1,2,1,2,0.37684
7,1,2,2,2,0.52784
7,1,3,1,2,0.67492
7,1,3,2,2,0.86032
8,1,1,1,1,0.20473
8,1,1,2,1,0.29115
8,1,2,1,1,0.16978
8,1,2,2,1,0.45738
8,1,3,1,1,0.76524
8,1,3,2,1,1.0786
9,1,1,1,2,0.2005
9,1,1,2,2,0.19757
9,1,2,1,2,0.19482
9,1,2,2,2,0.39992
9,1,3,1,2,0.44238
9,1,3,2,2,1.0241
10,0,1,1,1,0.16804
10,0,1,2,1,0.23252
10,0,2,1,1,0.16226
10,0,2,2,1,0.65376
10,0,3,1,1,0.75397
10,0,3,2,1,1.0731
11,1,1,1,2,0.33203
11,1,1,2,2,0.56867
11,1,2,1,2,0.37809
11,1,2,2,2,0.70124
11,1,3,1,2,0.58946
11,1,3,2,2,0.94973
12,1,1,1,1,0.15562
