stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,correctResponse,keyCode,keyLabel,keyLabelType,keyIndex,response
QUOTIENT,text,black,word,word,Space,Space.png,image,2,target
TRUMPFFARBE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KALKGRUBE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABSCHÜRFUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SUBJEKTSATZ,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
STAMMBUCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
TÄUSCHER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSHORCHEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
PROZENTUELL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KALTSTELLEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
REITSTIEFEL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VORSPRUCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SEHSCHWÄCHE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ARTEFAKT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZWEIHÄNDER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FLAUHEIT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERKEHRSFREI,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
LINKSWENDUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FASCHINGSZUG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ENTSIEGELN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINSTAUBEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SCHIFFSBRIEF,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINTRUDELN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SCHMIERPUMPE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UFERSCHWALBE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNGELEHRT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
OMNIPOTENZ,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZENTRISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNTERLEGUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
PORTRÄTIST,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
IMPRÄGNATION,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AMPHIBISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FACHSIMPELEI,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
NIEDERSTE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
DANKSAGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FELGENBREMSE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UMZÄUNUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANDACHTSVOLL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SPUKGESTALT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANDERSWOHIN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BAUKLOTZ,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ÜBEREIGNEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
DREISTUFIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ÜBERREDUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SKILEHRER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KOORDINATOR,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WUNDERKIND,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERÄNDERBAR,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERWAIST,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSPUMPEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
LOCKVOGEL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINSTÜRMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
TRIUMPHBOGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BRATSCHE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
STEHLAMPE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
NOTIZBLOCK,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SPARFLAMME,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERSTRÖMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BODENFROST,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
REISEFÜHRER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINSCHENKEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VORGELESEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZUROLLEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BRILLIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VASELINE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
OPTIMIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SUKZESSIV,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
TEMPERIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WIEVIELTE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUFSPERREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BEKLEMMUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VORGESCHMACK,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EISENHART,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
RATSSITZUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ERBRECHT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
KLERIKAL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
PERLENSCHNUR,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABWEIDEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABWASSER,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSFINDIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SCHLÜSSIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FAHRPLAN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZUTREFFEND,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ERKÄLTUNG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNBETEILIGT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ANPRANGERN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ÜBERSEEISCH,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERWEGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
BAUSTOFF,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
PLAUSIBEL,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZWEIGSTELLE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ENTMUTIGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
