stimulusValue,stimulusValueType,stimulusValueColor,stimulusType,correctResponse,keyCode,keyLabel,keyLabelType,keyIndex,response
SPEISEWÜRZE,text,black,word,word,Space,Space.png,image,2,target
SILBERBROKAT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSAGIEREN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
FESTIVITÄT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WÄRMFLASCHE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ABSOLUTION,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
TATEINHEIT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
UNVERSTELLT,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINTRÄCHTIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
STRÄFLING,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
LEBENSRAUM,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ATTRIBUTSATZ,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ZURÜCKLIEGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
SPEISEKARTE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
ERLAHMEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
EINGLIEDERN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
WIDERWILLIG,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
AUSBLICK,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
VERNEIGEN,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
STUDIERENDE,text,black,word,word,ArrowLeft,key_arrow_L.png,image,1,word
DIRCHTRUNNT,text,black,nonword,nonword,Space,Space.png,image,2,target
STIENBITT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IBKÜMMIN,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IBBOIWÄRDAG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
WANDBAATIL,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
STÖCKWAUSU,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FREGIRIO,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ONBAZOHLBER,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SCHRAFTBALD,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
VIRBIAMURSCH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
INKINNTNOS,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
KEBERITT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
BAFÜHEGING,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
IEFTIULONG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
UBZEILON,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ULLIUNGUNG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
CHIETOSCH,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
SOEBURKOET,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
ENGUHENDORT,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
FROEMÖTUG,text,black,nonword,nonword,ArrowRight,key_arrow_R.png,image,3,nonword
