Age;Age.Group;Sex;Condition;Gains.e.c;Losses.e.c;Accuracy.PM.Task;Accuracy.OngoingTask;RT.Mdn.OngoingTask;RT.Mdn.PM.Task;Monetary.Motivation;PayoffRetained;Importance.OngoingTask;Importance.PMTask;N.Nontargets;N.Targets;LossAversion;Education;Income;LifeSatisfaction;Health;CognitiveSpeed;Vocabulary;SocialValueOrientation;GainOrientation;MaintenanceOrientation;LossOrientation;PositiveAffect;Negative.Affect;PRMQ.Prospective;PRMQ.Retrospective;ZAge;ZAccuracy.PM.Task;ZAccuracy.OngoingTask;ZRT.Mdn.OngoingTask;ZMonetary.Motivation;ZImportance.OngoingTask;ZImportance.PMTask;ZCognitiveSpeed;ZGainOrientation;ZMaintenanceOrientation;ZLossOrientation;ZAge.x.Gains;ZAge.x.Losses
55;Middle;2;Control;-1;-1;,833333333333333;,98371335504886;1675;2568;50; ;99;90;307;12;3;2;9;5;2;31;32;20,9372852742747;4,16666666666667;8;6,16666666666667;3,1;1,1;4,875;4,625;,197667892114219;1,20177696704342;,726642260832697;,588994209093615;-,0682032911705196;,680699852183269;,496386764777462;-,153134791123788;-1,85150713227196;1,28527712752149;,297762373017936;-,197667892114219;-,197667892114219
46;Middle;1;Control;-1;-1;,916666666666667;,983498349834984;1407;1152,5;50; ;90;90;303;12;1;3;4;7;6;36;32;37,4824114277185;6,66666666666667;6,66666666666667;4,33333333333333;3,4;1,1;3,375;2,625;-,229294754852494;1,47422010818677;,720342694480985;-,0121245555133214;-,0682032911705196;,28043351442033;,496386764777462;,344415071733289;,162622302512203;,444768924237682;-,639550025353306;,229294754852494;,229294754852494
57;Middle;1;Control;-1;-1;,916666666666667;,900662251655629;838;867;20; ;90;100;302;12;2;3;5;6;6;34;35;35,7617070687069;7,66666666666667;7;6,66666666666667;4,5;1,4;3,875;4;,292548480329044;1,47422010818677;-1,7067216887006;-1,28838044007058;-,845369548929019;,28043351442033;,890133842007355;,145395126590458;,968274076425868;,654895975058634;,553393027119184;-,292548480329044;-,292548480329044
42;Middle;1;Control;-1;-1;,75;,967320261437909;1018;1071;100; ;100;100;306;12;1;6;4;7;7;48;34;30,4290662871776;4,16666666666667;7,16666666666667;5,66666666666667;2,8;1;4,125;4,75;-,419055931282144;,929333825900077;,246331206741811;-,884643956379359;1,22707380509365;,725173889712485;,890133842007355;1,53853474259027;-1,85150713227196;,75995950046911;,0421317189166884;,419055931282144;,419055931282144
63;Middle;2;Control;-1;-1;,666666666666667;,99009900990099;1098;1725,5;90; ;100;80;303;12;3;6;1;6;7;25;36;32,5628654598417;6;6,16666666666667;5,66666666666667;4,1;1;4,75;4,875;,577190244973519;,656890684756732;,913739381478567;-,705205519183259;,968018385840813;,725173889712485;,102639687547569;-,750194626552281;-,374478880096907;,129578348006255;,0421317189166884;-,577190244973519;-,577190244973519
65;Middle;2;Control;-1;-1;0;,957095709570957;753;732;20; ;80;30;303;12;3;4;3;5;5;30;34;32,8423496666755;7;7,83333333333333;8;3,4;1,2;3,625;3,625;,672070833188344;-1,52265444439003;-,0532440535093462;-1,47903377959144;-,845369548929019;-,164306860871825;-1,8660956986019;-,252644763695204;,431172893816758;1,18021360211101;1,23507477138918;-,672070833188344;-,672070833188344
49;Middle;2;Control;-1;-1;,333333333333333;,957236842105263;1379;1408,5;0; ;100;100;304;12;4;6;2;6;7;29;31;29,4325684463162;7,16666666666667;6,5;3,5;4;1,1;3,75;4,125;-,0869738725302564;-,432881879816649;-,0491089269781487;-,0749280085319565;-1,36348038743468;,725173889712485;,890133842007355;-,352154736266619;,565448189469036;,339705398827206;-1,06560111552205;,0869738725302564;,0869738725302564
38;Middle;2;Control;-1;-1;,25;,92358803986711;1524;1415;75; ;85;80;301;12;1;4;4;6;7;35;31;37,0686679828955;6,5;7,66666666666667;4;4,2;1,1;4,25;4,75;-,608817107711794;-,705325020959994;-1,03500530843395;,250304158885975;,579435256961563;,0580633267742523;,102639687547569;,244905099161874;,0283470068599256;1,07515007670054;-,809970461420805;,608817107711794;,608817107711794
65;Middle;2;Control;-1;-1;0;,971061093247588;1256;1203,5;50; ;100;100;311;12;0;2;7;6;7;24;35;7,81529354676688;4,16666666666667;5,66666666666667;5,66666666666667;3,1;1;4,25;3,875;,672070833188344;-1,52265444439003;,355936075250811;-,350814605720961;-,0682032911705196;,725173889712485;,890133842007355;-,849704599123696;-1,85150713227196;-,185612228225173;,0421317189166884;-,672070833188344;-,672070833188344
57;Middle;1;Control;-1;-1;,5;,983552631578947;1348;1632;80; ;100;80;304;12;4;6;1;6;6;35;33;-16,260204708312;4,66666666666667;6,66666666666667;8;2,7;1;3,875;4;,292548480329044;,112004402470041;,721933127762214;-,144460402945445;,70896296658798;,725173889712485;,102639687547569;,244905099161874;-1,44868124531513;,444768924237682;1,23507477138918;-,292548480329044;-,292548480329044
62;Middle;2;Control;-1;-1;,166666666666667;,884244372990354;1573;1349;50; ;100;100;311;12;5;3;2;4;3;23;29;7,77763789012932;7,33333333333333;7,33333333333333;7,5;2,5;1,7;4,375;4;,529749950866106;-,97776816210334;-2,18775893492157;,360210201668587;-,0682032911705196;,725173889712485;,890133842007355;-,949214571695112;,699723485121313;,865023025879585;,979444117287931;-,529749950866106;-,529749950866106
65;Middle;1;Control;-1;-1;,166666666666667;,977198697068404;1092;936;0; ;100;20;307;12;3;5;6;6;6;34;36;37,4824114277185;6,66666666666667;5,66666666666667;5;3,6;1,8;3,25;4;,672070833188344;-,97776816210334;,535765400375799;-,718663401972966;-1,36348038743468;,725173889712485;-2,25984277583179;,145395126590458;,162622302512203;-,185612228225173;-,298709153218309;-,672070833188344;-,672070833188344
49;Middle;2;Control;-1;-1;1;,967213114754098;1277;1604;10; ;80;90;305;12;4;6;5;4;4;35;34;37,4824114277185;7;4,33333333333333;5,83333333333333;2,5;1,5;3,125;3,875;-,0869738725302564;1,74666324933011;,243191851970553;-,303712015956984;-1,10442496818185;-,164306860871825;,496386764777462;,244905099161874;,431172893816758;-1,02612043150898;,127341936950437;,0869738725302564;,0869738725302564
65;Middle;2;Control;-1;-1;0;,851973684210526;1320,5;1159,5;0; ;80;80;304;12;3;5;9;6;6;38;30;37,4824114277185;4,83333333333333;7,66666666666667;7,66666666666667;2,8;1,1;4,125;4,375;,672070833188344;-1,52265444439003;-3,1332771459396;-,206142365731605;-1,36348038743468;-,164306860871825;,102639687547569;,54343501687612;-1,31440594966285;1,07515007670054;1,06465433532168;-,672070833188344;-,672070833188344
44;Middle;1;Control;-1;-1;0;,927392739273927;1165;1007,5;100; ;100;100;303;12;5;6;2;7;7;28;26;7,81529354676688;8;8;8;3,3;2,3;3,5;3,25;-,324175343067319;-1,52265444439003;-,92352914499847;-,554925828031525;1,22707380509365;,725173889712485;,890133842007355;-,451664708838035;1,23682466773042;1,28527712752149;1,23507477138918;,324175343067319;,324175343067319
