DIRECTION,DISTANCE,STN_NUMBER,STN_NAME
EAST,1,3,B-Y
EAST,2,3,B-Y
EAST,2,3,B-Y
EAST,3,3,B-Y
EAST,1,3,B-Y
EAST,1,3,B-Y
EAST,2,3,B-Y
EAST,1,3,B-Y
EAST,3,3,B-Y
EAST,2,3,B-Y
EAST,1,3,B-Y
EAST,1,3,B-Y
EAST,2,3,B-Y
EAST,1,3,B-Y
EAST,3,3,B-Y
EAST,1,3,B-Y
EAST,2,3,B-Y
EAST,1,3,B-Y
EAST,1,3,B-Y
EAST,1,3,B-Y
EAST,2,3,B-Y
EAST,2,3,B-Y
EAST,1,3,B-Y
WEST,1,3,B-Y
WEST,1,3,B-Y
WEST,5,3,B-Y
WEST,1,3,B-Y
WEST,5,3,B-Y
WEST,2,3,B-Y
WEST,3,3,B-Y
WEST,1,3,B-Y
WEST,1,3,B-Y
WEST,2,3,B-Y
WEST,4,3,B-Y
WEST,2,3,B-Y
WEST,3,3,B-Y
WEST,3,3,B-Y
WEST,2,3,B-Y
WEST,1,3,B-Y
WEST,2,3,B-Y
WEST,2,3,B-Y
WEST,1,3,B-Y
WEST,4,3,B-Y
WEST,1,3,B-Y
WEST,1,3,B-Y
WEST,2,3,B-Y
WEST,3,3,B-Y
WEST,2,3,B-Y
WEST,2,3,B-Y
EAST,4,4,SHER
EAST,1,4,SHER
EAST,1,4,SHER
EAST,4,4,SHER
EAST,3,4,SHER
EAST,3,4,SHER
EAST,4,4,SHER
EAST,5,4,SHER
EAST,2,4,SHER
EAST,3,4,SHER
EAST,4,4,SHER
EAST,2,4,SHER
EAST,1,4,SHER
EAST,3,4,SHER
EAST,3,4,SHER
EAST,2,4,SHER
EAST,4,4,SHER
EAST,3,4,SHER
EAST,4,4,SHER
EAST,2,4,SHER
EAST,1,4,SHER
EAST,2,4,SHER
EAST,2,4,SHER
EAST,3,4,SHER
EAST,2,4,SHER
EAST,4,4,SHER
WEST,2,4,SHER
WEST,5,4,SHER
WEST,4,4,SHER
WEST,5,4,SHER
WEST,3,4,SHER
WEST,4,4,SHER
WEST,4,4,SHER
WEST,3,4,SHER
WEST,5,4,SHER
WEST,6,4,SHER
WEST,2,4,SHER
WEST,5,4,SHER
WEST,5,4,SHER
WEST,4,4,SHER
WEST,3,4,SHER
WEST,4,4,SHER
WEST,5,4,SHER
WEST,4,4,SHER
WEST,2,4,SHER
WEST,5,4,SHER
WEST,3,4,SHER
WEST,4,4,SHER
WEST,5,4,SHER
WEST,5,4,SHER
WEST,3,4,SHER
EAST,5,1,SPAD
EAST,4,1,SPAD
EAST,3,1,SPAD
EAST,3,1,SPAD
EAST,4,1,SPAD
EAST,1,1,SPAD
EAST,4,1,SPAD
EAST,4,1,SPAD
EAST,5,1,SPAD
EAST,3,1,SPAD
EAST,2,1,SPAD
EAST,4,1,SPAD
EAST,5,1,SPAD
EAST,3,1,SPAD
EAST,3,1,SPAD
EAST,4,1,SPAD
EAST,2,1,SPAD
EAST,4,1,SPAD
EAST,4,1,SPAD
EAST,5,1,SPAD
EAST,2,1,SPAD
EAST,3,1,SPAD
EAST,4,1,SPAD
EAST,5,1,SPAD
EAST,5,1,SPAD
EAST,4,1,SPAD
WEST,2,1,SPAD
WEST,4,1,SPAD
WEST,3,1,SPAD
WEST,3,1,SPAD
WEST,2,1,SPAD
WEST,4,1,SPAD
WEST,3,1,SPAD
WEST,3,1,SPAD
WEST,2,1,SPAD
WEST,1,1,SPAD
WEST,2,1,SPAD
WEST,4,1,SPAD
WEST,3,1,SPAD
WEST,2,1,SPAD
WEST,2,1,SPAD
WEST,5,1,SPAD
WEST,2,1,SPAD
WEST,2,1,SPAD
WEST,4,1,SPAD
WEST,3,1,SPAD
WEST,2,1,SPAD
WEST,1,1,SPAD
WEST,2,1,SPAD
WEST,2,1,SPAD
WEST,3,1,SPAD
EAST,3,2,STG
EAST,1,2,STG
EAST,4,2,STG
EAST,1,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,2,2,STG
EAST,4,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,2,2,STG
EAST,4,2,STG
EAST,1,2,STG
EAST,2,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,2,2,STG
EAST,4,2,STG
EAST,5,2,STG
EAST,3,2,STG
EAST,3,2,STG
EAST,1,2,STG
EAST,3,2,STG
EAST,3,2,STG
WEST,2,2,STG
WEST,3,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,2,2,STG
WEST,1,2,STG
WEST,3,2,STG
WEST,1,2,STG
WEST,2,2,STG
WEST,1,2,STG
WEST,3,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,2,2,STG
WEST,2,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,3,2,STG
WEST,1,2,STG
WEST,1,2,STG
WEST,2,2,STG
WEST,1,2,STG
WEST,3,2,STG
