id,cond,n_back,flash_err_rate,rt
1,A2V1,no_back,0.2,0.774766972319533
1,A2V1,0_back,0.233333333333333,0.888344561761438
1,A2V1,1_back,0.166666666666667,0.818859778476569
1,A2V1,2_back,0.366666666666667,0.815304253995419
2,A2V1,no_back,0.0666666666666667,0.716391630976432
2,A2V1,0_back,0.0333333333333333,0.638935795119323
2,A2V1,1_back,0.1,0.677089013656223
2,A2V1,2_back,0.2,0.660106011296538
3,A2V1,no_back,0.0666666666666667,0.485936820366866
3,A2V1,0_back,0.1,0.56036221357596006
3,A2V1,1_back,0.1,0.583300096086168
3,A2V1,2_back,0.0666666666666667,0.561855593583217
4,A2V1,no_back,0.3,0.757707855607441
4,A2V1,0_back,0.533333333333333,0.984372966324445
4,A2V1,1_back,0.866666666666667,0.935130495096834
4,A2V1,2_back,0.833333333333333,0.888496673516541
5,A2V1,no_back,0.266666666666667,0.745477622106167
5,A2V1,0_back,0.7,0.779389787959129
5,A2V1,1_back,0.566666666666667,0.856673160196321
5,A2V1,2_back,0.8,0.925195258533269
6,A2V1,no_back,0.433333333333333,0.627506160015309
6,A2V1,0_back,0.633333333333333,0.768831393513816
6,A2V1,1_back,0.666666666666667,0.749871583605515
6,A2V1,2_back,0.7,0.572095319545285
7,A2V1,no_back,0.0666666666666667,0.815969122709154
7,A2V1,0_back,0.0666666666666667,0.711364240435896
7,A2V1,1_back,0.233333333333333,0.825072165241024
7,A2V1,2_back,0.3,0.791942897770605
8,A2V1,no_back,0.766666666666667,0.639421371245529
8,A2V1,0_back,0.9,0.669482101851584
8,A2V1,1_back,0.966666666666667,0.669913941631724
8,A2V1,2_back,0.866666666666667,0.79880579534353
9,A2V1,no_back,0.2,1.19891433069505
9,A2V1,0_back,0.366666666666667,1.00798193645169
9,A2V1,1_back,0.6,1.08507000273023
9,A2V1,2_back,0.4,1.02920684376392
10,A2V1,no_back,0.9,0.578241897189582
10,A2V1,0_back,0.866666666666667,0.784058097578838
10,A2V1,1_back,0.9,0.731018544728674
10,A2V1,2_back,0.933333333333333,0.711674017709932
11,A2V1,no_back,0.4,0.743413322994214
11,A2V1,0_back,0.6,0.730805853172205
11,A2V1,1_back,0.333333333333333,0.766247653331569
11,A2V1,2_back,0.566666666666667,0.764021766189373
12,A2V1,no_back,0.533333333333333,0.923906745256803
12,A2V1,0_back,0.733333333333333,0.865117173132724
12,A2V1,1_back,0.733333333333333,0.923793698151712
12,A2V1,2_back,0.7,0.797874671865308
13,A2V1,no_back,0.466666666666667,0.445626278255925
13,A2V1,0_back,0.5,0.572030170518325
13,A2V1,1_back,0.333333333333333,0.644425251338544
13,A2V1,2_back,0.766666666666667,0.546123025571554
14,A2V1,no_back,0.5,0.721533614159004
14,A2V1,0_back,0.4,0.759712858954784
14,A2V1,1_back,0.566666666666667,0.718348747091901
14,A2V1,2_back,0.3,0.739695174114604
15,A2V1,no_back,0.6,0.796446511195973
15,A2V1,0_back,0.433333333333333,0.755461420537904
15,A2V1,1_back,0.3,0.810459771586967
15,A2V1,2_back,0.466666666666667,0.967870504304301
16,A2V1,no_back,0.866666666666667,0.62373392606775
