PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,1,0,substantiv,f,positiv,1,360.4290489433737,Angelika,f,Ballett,"['m', 'f']"
m,16,15,adjektiv,f,neutral,1,461.2653284146404,Renate,f,dominant,"['m', 'f']"
f,15,21,verb,town,negativ,1,534.3690329357429,Minden,town,spülen,town
f,20,26,adjektiv,m,negativ,1,443.11553563372286,Ulrich,m,zickig,"['m', 'f']"
m,16,1,substantiv,town,positiv,1,352.3123748968118,Rostock,town,Sport,town
m,2,24,adjektiv,f,negativ,1,343.74983412696736,Anja,f,aggressiv,"['m', 'f']"
f,1,6,adjektiv,town,positiv,1,534.5022900955314,Leipzig,town,einfühlsam,town
m,1,9,substantiv,m,neutral,1,630.753070571842,Albert,m,Skat,"['m', 'f']"
f,9,6,adjektiv,m,positiv,1,398.4699172660271,Helmut,m,einfühlsam,"['m', 'f']"
m,26,3,verb,town,positiv,1,452.3127939444862,Krefeld,town,reparieren,town
m,17,5,verb,town,positiv,0,365.2788273369936,Düsseldorf,town,beschützen,"['m', 'f']"
m,7,4,verb,f,positiv,1,548.1129584905489,Helga,f,bauen,"['m', 'f']"
f,23,22,verb,town,negativ,0,476.40747636918945,Hannover,town,putzen,"['m', 'f']"
m,4,13,verb,f,neutral,1,459.5863440744665,Claudia,f,rasieren,"['m', 'f']"
m,12,22,verb,f,negativ,1,501.43440018214847,Katja,f,fluchen,"['m', 'f']"
m,23,21,verb,town,negativ,1,461.0842998202145,Bottrop,town,saufen,town
f,4,14,verb,m,neutral,1,440.45290672417536,Daniel,m,nähen,"['m', 'f']"
f,16,13,verb,town,neutral,1,474.6198189993436,Berlin,town,kochen,town
m,24,6,adjektiv,town,positiv,1,504.66721329107145,Bielefeld,town,tapfer,town
f,3,29,definition,m,NA,1,530.7470642218561,Dieter,m,Schwester,"['m', 'f']"
m,19,0,substantiv,town,positiv,1,486.32745223204665,Gladbach,town,Computer,town
m,10,29,definition,town,NA,1,489.0096366996204,Passau,town,Bruder,town
m,19,19,substantiv,f,negativ,1,413.62715093677593,Silke,f,Glatze,"['m', 'f']"
m,21,5,verb,f,positiv,1,596.2498026983951,Tanja,f,beschützen,"['m', 'f']"
f,21,5,verb,town,positiv,1,508.6833661820265,Würzburg,town,backen,town
