PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,24,10,substantiv,town,neutral,1,491.85161801301547,Rostock,town,Tratsch,town
f,14,21,verb,f,negativ,1,486.81187134116044,Monika,f,spülen,"['m', 'f']"
f,26,1,substantiv,town,positiv,1,372.4342060233994,München,town,Blumen,town
f,8,15,adjektiv,m,neutral,0,485.09545207571136,Hans,m,sensibel,town
f,27,22,verb,town,negativ,1,464.4095827821957,Magdeburg,town,putzen,town
f,2,21,verb,m,negativ,1,529.7757117175479,Bernhard,m,spülen,"['m', 'f']"
f,8,10,substantiv,town,neutral,1,540.4569575183586,Göttingen,town,Tratsch,town
f,20,20,substantiv,town,negativ,1,554.4917021577476,Berlin,town,Handtasche,town
m,17,20,substantiv,town,negativ,1,478.8787401751051,Regensburg,town,Schweiss,town
f,1,2,substantiv,town,positiv,0,376.23999698280386,Jena,town,Familie,"['m', 'f']"
f,30,1,substantiv,town,positiv,1,508.36768360227325,Kiel,town,Blumen,town
f,26,22,verb,town,negativ,1,667.3342561693971,Gera,town,putzen,town
m,16,4,verb,m,positiv,0,438.93902716695266,Norbert,m,bauen,town
f,7,0,substantiv,m,positiv,1,699.7093205980036,Georg,m,Ballett,"['m', 'f']"
m,26,26,adjektiv,town,negativ,1,592.3068434675542,Gera,town,brutal,town
m,8,22,verb,town,negativ,1,512.7598619377522,Erfurt,town,fluchen,town
f,10,3,verb,m,positiv,1,624.7450444121796,Horst,m,tanzen,"['m', 'f']"
f,24,5,verb,f,positiv,1,525.390238144837,Hanna,f,backen,"['m', 'f']"
m,1,4,verb,f,positiv,1,578.8481496950908,Angelika,f,bauen,"['m', 'f']"
f,5,4,verb,town,positiv,1,526.564689087536,Passau,town,pflegen,town
m,19,17,adjektiv,f,neutral,0,720.6200788089063,Silke,f,groß,town
f,26,19,substantiv,m,negativ,1,605.3238609935079,Hubert,m,Küche,"['m', 'f']"
f,19,26,adjektiv,town,negativ,1,498.2750600984218,Düsseldorf,town,zickig,town
m,22,19,substantiv,f,negativ,0,559.5719567710375,Ulrike,f,Glatze,town
f,6,13,verb,town,neutral,1,530.9599404394021,Karlsruhe,town,kochen,town
f,18,17,adjektiv,town,neutral,0,806.8899818273394,Würzburg,town,häuslich,"['m', 'f']"
f,17,3,verb,town,positiv,1,499.8621333159008,Regensburg,town,tanzen,town
m,17,5,verb,m,positiv,1,983.0598581663708,Peter,m,beschützen,"['m', 'f']"
f,0,11,substantiv,town,neutral,1,515.1685479579555,Freiburg,town,Diät,town
m,15,14,verb,town,neutral,1,533.569489977026,Wolfsburg,town,rechnen,town
f,27,27,definition,f,NA,1,700.1725079584276,Katharina,f,Frau,"['m', 'f']"
f,13,8,adjektiv,town,positiv,1,592.7256117746538,Paderborn,town,zärtlich,town
m,27,30,definition,f,NA,1,763.0824588040923,Katharina,f,König,"['m', 'f']"
m,17,17,adjektiv,town,neutral,1,585.0830203280566,Wiesbaden,town,groß,town
f,23,6,adjektiv,town,positiv,1,501.5617906744865,Augsburg,town,einfühlsam,town
f,0,7,adjektiv,f,positiv,1,781.6661056084513,Annette,f,fürsorglich,"['m', 'f']"
f,12,6,adjektiv,m,positiv,1,623.1543394480923,Jürgen,m,einfühlsam,"['m', 'f']"
m,20,12,verb,town,neutral,1,445.6711677041767,Rudolstadt,town,kämpfen,town
f,11,24,adjektiv,town,negativ,1,804.1142100462366,Weimar,town,geschwätzig,town
m,13,24,adjektiv,m,negativ,1,778.2807591466963,Klaus,m,aggressiv,"['m', 'f']"
f,16,11,substantiv,f,neutral,1,651.0017334604754,Renate,f,Diät,"['m', 'f']"
m,3,4,verb,town,positiv,1,606.2558230165678,Frankfurt,town,bauen,town
m,5,15,adjektiv,f,neutral,1,608.6323820485404,Erna,f,dominant,"['m', 'f']"
m,10,6,adjektiv,m,positiv,1,720.3069105150917,Horst,m,tapfer,"['m', 'f']"
f,30,17,adjektiv,m,neutral,1,589.3595415059281,Alexander,m,häuslich,"['m', 'f']"
m,6,27,definition,f,NA,0,462.82446512054776,Eva,f,Mann,town
m,14,1,substantiv,town,positiv,1,512.6000650921014,Bremen,town,Sport,town
m,14,12,verb,m,neutral,0,530.9364737696569,Manfred,m,kämpfen,town
f,3,29,definition,town,NA,1,603.8423877895411,Frankfurt,town,Schwester,town
f,2,16,adjektiv,town,neutral,1,668.6880595159437,Minden,town,emotional,town
f,22,24,adjektiv,town,negativ,1,662.9074365597489,Krefeld,town,geschwätzig,town
m,27,15,adjektiv,m,neutral,1,590.8351480425154,Stefan,m,dominant,"['m', 'f']"
