PrimeGender,TargetID,PrimeID,PrimeWordtype,TargetGender,PrimeValence,Accuracy,RT,TargetWord,RequiredResponse,PrimeWord,Response
f,18,22,verb,m,negativ,1,700.083669851665,Friedrich,m,putzen,m
f,6,4,verb,f,positiv,1,470.7321740625048,Eva,f,pflegen,f
f,13,21,verb,f,negativ,1,615.7064654871647,Kerstin,f,spülen,f
f,25,19,substantiv,f,negativ,1,471.1584852266242,Linda,f,Küche,f
f,14,14,verb,m,neutral,1,569.201672278723,Manfred,m,nähen,m
m,8,4,verb,f,positiv,1,695.4017898915481,Heike,f,bauen,f
m,20,22,verb,f,negativ,1,544.2180500594986,Susanne,f,fluchen,f
m,28,7,adjektiv,f,positiv,1,585.228290186933,Carolin,f,mutig,f
m,8,14,verb,m,neutral,1,496.2139042800118,Hans,m,rechnen,m
m,7,18,substantiv,m,negativ,1,554.4031434164935,Georg,m,Bierbauch,m
f,17,26,adjektiv,m,negativ,1,704.8320387093554,Peter,m,zickig,m
f,30,6,adjektiv,m,positiv,1,619.6365739215253,Alexander,m,einfühlsam,m
f,20,24,adjektiv,m,negativ,1,728.6132734752755,Ulrich,m,geschwätzig,m
m,10,6,adjektiv,f,positiv,1,634.8619726813922,Daniela,f,tapfer,f
f,12,10,substantiv,f,neutral,1,512.9746937109303,Katja,f,Tratsch,f
f,7,8,adjektiv,f,positiv,1,574.7216475829191,Helga,f,zärtlich,f
m,17,3,verb,m,positiv,1,669.6616469416767,Peter,m,reparieren,m
m,21,24,adjektiv,m,negativ,1,605.2137911392492,Volker,m,aggressiv,m
f,0,9,substantiv,m,neutral,1,601.2993271488085,Achim,m,Haushalt,m
f,23,27,definition,f,NA,1,484.50459485866304,Kerstin,f,Frau,f
f,30,9,substantiv,f,neutral,1,601.7052446604794,Franziska,f,Haushalt,f
m,28,19,substantiv,m,negativ,1,531.7935659422801,Florian,m,Glatze,m
m,18,17,adjektiv,f,neutral,1,506.816927851105,Sandra,f,groß,f
f,13,7,adjektiv,m,positiv,1,568.5744975962734,Klaus,m,fürsorglich,m
f,23,27,definition,m,NA,1,663.4315255141701,Hannes,m,Frau,m
f,21,28,definition,m,NA,1,470.4891264100297,Volker,m,Mutter,m
f,17,14,verb,f,neutral,1,615.4717987901677,Sabine,f,nähen,f
f,2,30,definition,f,NA,1,689.6111097921676,Anja,f,Königin,f
f,11,20,substantiv,f,negativ,1,460.35767115608905,Karin,f,Handtasche,f
f,12,16,adjektiv,m,neutral,1,508.0533978471067,Jürgen,m,emotional,m
m,3,21,verb,m,negativ,1,491.6571798930818,Dieter,m,saufen,m
f,24,15,adjektiv,m,neutral,1,655.7157404095051,Ingo,m,sensibel,m
f,18,12,verb,f,neutral,1,509.60778534681594,Sandra,f,schminken,f
f,16,5,verb,m,positiv,1,508.85741064848844,Norbert,m,backen,m
m,12,24,adjektiv,f,negativ,1,851.8403875350486,Katja,f,aggressiv,f
f,9,13,verb,f,neutral,1,433.8498328706919,Julia,f,kochen,f
m,25,3,verb,f,positiv,1,470.97633917292114,Linda,f,reparieren,f
m,29,7,adjektiv,m,positiv,1,537.7809190849803,Thorsten,m,mutig,m
f,28,2,substantiv,f,positiv,1,637.8036873411475,Carolin,f,Familie,f
m,29,23,verb,f,negativ,1,562.8050492450711,Anna,f,boxen,f
f,28,0,substantiv,m,positiv,0,513.604382680569,Florian,m,Ballett,f
m,15,9,substantiv,m,neutral,1,528.4576671056129,Markus,m,Skat,m
m,23,0,substantiv,f,positiv,1,562.4731634889031,Kerstin,f,Computer,f
m,26,17,adjektiv,m,neutral,1,685.137077476611,Hubert,m,groß,m
m,21,25,adjektiv,f,negativ,1,561.67781100703,Tanja,f,grob,f
f,19,29,definition,f,NA,1,465.5954876943724,Silke,f,Schwester,f
m,20,26,adjektiv,m,negativ,1,716.3916084300581,Ulrich,m,brutal,m
m,0,0,substantiv,m,positiv,1,634.7432425063744,Achim,m,Computer,m
m,18,29,definition,m,NA,1,590.988240126535,Friedrich,m,Bruder,m
m,5,10,substantiv,m,neutral,1,580.0734450895106,Frank,m,Stammtisch,m
f,8,13,verb,m,neutral,1,616.0165607634553,Hans,m,kochen,m
f,15,30,definition,m,NA,1,521.836155154233,Markus,m,Königin,m
f,3,7,adjektiv,f,positiv,1,712.1393920187984,Birgit,f,fürsorglich,f
m,1,14,verb,f,neutral,1,580.0659022297623,Angelika,f,rechnen,f
m,14,12,verb,m,neutral,1,522.2806250512804,Manfred,m,kämpfen,m
f,22,12,verb,m,neutral,1,587.5207603203307,Wolfgang,m,schminken,m
m,24,2,substantiv,m,positiv,1,529.6843593241647,Ingo,m,Muskeln,m
m,30,2,substantiv,f,positiv,1,516.8757481751527,Franziska,f,Muskeln,f
m,16,27,definition,m,NA,1,578.5958829965239,Norbert,m,Mann,m
f,11,11,substantiv,m,neutral,1,564.125049411814,Jens,m,Diät,m
m,1,20,substantiv,m,negativ,1,561.8395634082844,Albert,m,Schweiss,m
m,0,19,substantiv,f,negativ,1,543.8741516027221,Annette,f,Glatze,f
f,20,3,verb,f,positiv,1,519.2908595909103,Susanne,f,tanzen,f
f,1,25,adjektiv,m,negativ,1,615.7874813688977,Albert,m,hysterisch,m
m,14,30,definition,f,NA,1,599.7871237814252,Monika,f,König,f
f,5,26,adjektiv,f,negativ,1,545.4768692670768,Erna,f,zickig,f
m,30,11,substantiv,m,neutral,1,570.8412661388138,Alexander,m,Auto,m
m,7,1,substantiv,f,positiv,1,712.7003571677051,Helga,f,Sport,f
f,5,29,definition,m,NA,1,568.5130372712592,Frank,m,Schwester,m
f,27,6,adjektiv,f,positiv,1,475.9507144080999,Katharina,f,einfühlsam,f
f,0,15,adjektiv,f,neutral,1,464.6246939209959,Annette,f,sensibel,f
m,10,28,definition,m,NA,1,434.18786465917947,Horst,m,Vater,m
f,29,11,substantiv,f,neutral,1,709.211366249292,Anna,f,Diät,f
m,12,25,adjektiv,m,negativ,1,530.2799657492869,Jürgen,m,grob,m
m,11,15,adjektiv,m,neutral,1,579.9382323730242,Jens,m,dominant,m
f,9,19,substantiv,m,negativ,1,569.001367492092,Helmut,m,Küche,m
m,22,26,adjektiv,f,negativ,1,695.211262884186,Ulrike,f,brutal,f
f,26,1,substantiv,f,positiv,1,731.4717373301391,Nina,f,Blumen,f
f,6,2,substantiv,m,positiv,1,575.2602635238873,Fritz,m,Familie,m
m,6,29,definition,f,NA,1,560.7877537495369,Eva,f,Bruder,f
f,1,28,definition,f,NA,1,574.0900030577905,Angelika,f,Mutter,f
m,19,1,substantiv,m,positiv,1,544.0286405118968,Thomas,m,Sport,m
m,26,9,substantiv,f,neutral,1,694.4293199285312,Nina,f,Skat,f
m,5,5,verb,f,positiv,1,590.0934336623322,Erna,f,beschützen,f
m,2,21,verb,f,negativ,1,532.3084358478809,Anja,f,saufen,f
f,10,25,adjektiv,f,negativ,1,601.0783493438794,Daniela,f,hysterisch,f
f,26,23,verb,m,negativ,1,515.5197099084035,Hubert,m,bügeln,m
f,4,1,substantiv,m,positiv,1,795.9936248880695,Daniel,m,Blumen,m
m,9,16,adjektiv,m,neutral,1,485.4443791045924,Helmut,m,sachlich,m
f,25,17,adjektiv,m,neutral,1,508.90602017898345,Kurt,m,häuslich,m
f,7,20,substantiv,m,negativ,1,545.5897327738057,Georg,m,Handtasche,m
f,27,10,substantiv,m,neutral,1,627.2914574328752,Stefan,m,Tratsch,m
f,3,3,verb,m,positiv,1,720.6628216717945,Dieter,m,tanzen,m
m,11,10,substantiv,f,neutral,1,560.8659759836883,Karin,f,Stammtisch,f
m,24,8,adjektiv,f,positiv,1,1230.422022910716,Hanna,f,stark,f
f,2,18,substantiv,m,negativ,1,577.5594384194846,Bernhard,m,Mode,m
m,2,13,verb,m,neutral,1,563.1467127805081,Bernhard,m,rasieren,m
f,8,22,verb,f,negativ,1,529.5474704180378,Heike,f,putzen,f
m,4,15,adjektiv,f,neutral,1,641.6840687852527,Claudia,f,dominant,f
f,22,23,verb,f,negativ,1,476.4354128801642,Ulrike,f,bügeln,f
f,24,18,substantiv,f,negativ,1,558.9065090680378,Hanna,f,Mode,f
m,25,4,verb,m,positiv,1,540.9444496435754,Kurt,m,bauen,m
m,27,22,verb,m,negativ,1,469.04564686155936,Stefan,m,fluchen,m
m,15,27,definition,f,NA,1,594.8546533145418,Petra,f,Mann,f
m,9,16,adjektiv,f,neutral,1,493.7183357105823,Julia,f,sachlich,f
m,23,23,verb,m,negativ,1,564.0546494050795,Hannes,m,boxen,m
f,4,0,substantiv,f,positiv,1,608.5949471216736,Claudia,f,Ballett,f
m,3,13,verb,f,neutral,1,776.5615462303685,Birgit,f,rasieren,f
f,19,4,verb,m,positiv,1,696.8639869028266,Thomas,m,pflegen,m
m,17,18,substantiv,f,negativ,1,592.5322911152762,Sabine,f,Bierbauch,f
f,29,8,adjektiv,m,positiv,1,538.2499731113057,Thorsten,m,zärtlich,m
f,16,16,adjektiv,f,neutral,1,778.8763655717048,Renate,f,emotional,f
f,15,17,adjektiv,f,neutral,1,542.9332498952135,Petra,f,häuslich,f
m,13,11,substantiv,f,neutral,1,596.0659804532042,Kerstin,f,Auto,f
f,10,21,verb,m,negativ,1,635.5290965748281,Horst,m,spülen,m
m,4,30,definition,m,NA,1,826.1474572900624,Daniel,m,König,m
f,14,5,verb,f,positiv,1,651.1171112524607,Monika,f,backen,f
m,6,6,adjektiv,m,positiv,1,548.363548998168,Fritz,m,tapfer,m
m,19,12,verb,f,neutral,1,526.8974129394337,Silke,f,kämpfen,f
m,27,28,definition,f,NA,0,732.7808422578528,Katharina,f,Vater,m
m,16,20,substantiv,f,negativ,1,685.8701315377402,Renate,f,Schweiss,f
m,22,8,adjektiv,m,positiv,1,531.2345563470444,Wolfgang,m,stark,m
f,21,24,adjektiv,f,negativ,1,553.0795115028013,Tanja,f,geschwätzig,f
m,13,5,verb,m,positiv,1,734.7813758442499,Klaus,m,beschützen,m
