"order","stimnum_1","stimnum_2","stimnum_3","stimnum_4","stimnum_5","stimnum_6","stimnum_7","stimnum_8"
1,"antlion","wasp_1","cicada_killer1","divingbeetle","junebeetle","scorpion2","cockroach2","assassinbug"
2,"assassinbug","antlion","wasp_1","cicada_killer1","divingbeetle","junebeetle","scorpion2","cockroach2"
3,"cockroach2","assassinbug","antlion","wasp_1","cicada_killer1","divingbeetle","junebeetle","scorpion2"
4,"scorpion2","cockroach2","assassinbug","antlion","wasp_1","cicada_killer1","divingbeetle","junebeetle"
5,"junebeetle","scorpion2","cockroach2","assassinbug","antlion","wasp_1","cicada_killer1","divingbeetle"
6,"divingbeetle","junebeetle","scorpion2","cockroach2","assassinbug","antlion","wasp_1","cicada_killer1"
7,"cicada_killer1","divingbeetle","junebeetle","scorpion2","cockroach2","assassinbug","antlion","wasp_1"
8,"wasp_1","cicada_killer1","divingbeetle","junebeetle","scorpion2","cockroach2","assassinbug","antlion"
9,"wasp_1","cockroach2","antlion","scorpion2","divingbeetle","cicada_killer1","assassinbug","junebeetle"
10,"junebeetle","wasp_1","cockroach2","antlion","scorpion2","divingbeetle","cicada_killer1","assassinbug"
11,"assassinbug","junebeetle","wasp_1","cockroach2","antlion","scorpion2","divingbeetle","cicada_killer1"
12,"cicada_killer1","assassinbug","junebeetle","wasp_1","cockroach2","antlion","scorpion2","divingbeetle"
13,"divingbeetle","cicada_killer1","assassinbug","junebeetle","wasp_1","cockroach2","antlion","scorpion2"
14,"scorpion2","divingbeetle","cicada_killer1","assassinbug","junebeetle","wasp_1","cockroach2","antlion"
15,"antlion","scorpion2","divingbeetle","cicada_killer1","assassinbug","junebeetle","wasp_1","cockroach2"
16,"cockroach2","antlion","scorpion2","divingbeetle","cicada_killer1","assassinbug","junebeetle","wasp_1"
